factors,total_quantum_cycles,computation_time
"(2, 2)",30,14512
5,55,2167
"(2, 3)",48,3723
7,55,1295
"(2, (2, 2))",45,3753
"(3, 3)",66,46363
"(2, 5)",70,2303
11,81,1224
"(2, (2, 3))",63,3167
13,81,1102
"(2, 7)",70,2090
"(3, 5)",88,7338
"(2, (2, (2, 2)))",60,4213
17,105,1121
"(2, (3, 3))",32481,276207852
19,105,5106
"(2, (2, 5))",85,12948
"(3, 7)",21088,140145245
"(2, 11)",96,7368
23,105,2622
"(2, (2, (2, 3)))",78,10383
"(5, 5)",31610,240084753
"(2, 13)",96,10840
"((3, 3), 3)",60699,363085701
"(2, (2, 7))",85,11397
29,105,2893
"(2, (5, 3))",8203,64561874
31,105,2314
"(2, (2, (2, (2, 2))))",75,8220
"(3, 11)",114,38706
"(2, 17)",120,2867
"(7, 5)",13410,61766031
"(2, (2, (3, 3)))",16296,133315120
37,133,2197
"(2, 19)",120,5323
"(3, 13)",13414,53232727
"(2, (2, (2, 5)))",100,12732
41,133,2582
"(2, (3, 7))",10603,80582530
43,133,2543
"(2, (2, 11))",111,7107
"(3, (3, 5))",121,56872
"(2, 23)",120,4027
47,133,1769
"(2, (2, (2, (2, 3))))",93,10316
"(7, 7)",40010,202971273
"(2, (5, 5))",21125,106319973
"(17, 3)",13438,53348382
"(2, (2, 13))",111,7820
53,133,2835
"(2, (3, (3, 3)))",31614,173604408
"(5, 11)",40036,256963028
"(2, (2, (2, 7)))",100,17282
"(3, 19)",138,83931
"(2, 29)",120,6096
59,133,4426
"(2, (2, (5, 3)))",8218,59273148
61,133,3753
"(2, 31)",120,4740
"((3, 3), 7)",13421,53507203
"(2, (2, (2, (2, (2, 2)))))",90,14817
"(5, 13)",13436,53511008
"(2, (3, 11))",13429,56465654
67,133,4060
"(2, (2, 17))",135,8316
"(3, 23)",40038,153953379
"(2, (5, 7))",13425,72691418
71,133,4793
"(2, (2, (2, (3, 3))))",111,54529
73,133,3530
"(2, 37)",148,5805
"(3, (5, 5))",47743,249902138
"(2, (2, 19))",135,15265
"(7, 11)",66636,373254790
"(2, (13, 3))",13429,73536334
79,133,5355
